,pathname,class,mode
459,/asl_dataset/n/hand1_n_right_seg_1_cropped.jpeg,n,val
1887,/asl_dataset/e/hand1_e_top_seg_4_cropped.jpeg,e,val
2243,/asl_dataset/y/hand2_y_left_seg_5_cropped.jpeg,y,val
2334,/asl_dataset/5/hand2_5_dif_seg_2_cropped.jpeg,5,val
2057,/asl_dataset/k/hand4_k_bot_seg_4_cropped.jpeg,k,val
42,/asl_dataset/r/hand2_r_dif_seg_5_cropped.jpeg,r,val
1106,/asl_dataset/f/hand1_f_top_seg_1_cropped.jpeg,f,val
1470,/asl_dataset/d/hand2_d_right_seg_4_cropped.jpeg,d,val
1968,/asl_dataset/b/hand1_b_bot_seg_4_cropped.jpeg,b,val
1426,/asl_dataset/c/hand1_c_bot_seg_5_cropped.jpeg,c,val
1229,/asl_dataset/h/hand2_h_bot_seg_3_cropped.jpeg,h,val
1750,/asl_dataset/x/hand2_x_bot_seg_4_cropped.jpeg,x,val
1548,/asl_dataset/v/hand2_v_top_seg_5_cropped.jpeg,v,val
1724,/asl_dataset/4/hand2_4_top_seg_3_cropped.jpeg,4,val
1575,/asl_dataset/v/hand1_v_bot_seg_3_cropped.jpeg,v,val
153,/asl_dataset/9/hand1_9_bot_seg_2_cropped.jpeg,9,val
8,/asl_dataset/r/hand2_r_left_seg_2_cropped.jpeg,r,val
1600,/asl_dataset/v/hand5_v_dif_seg_1_cropped.jpeg,v,val
927,/asl_dataset/s/hand5_s_dif_seg_5_cropped.jpeg,s,val
636,/asl_dataset/z/hand2_z_bot_seg_3_cropped.jpeg,z,val
2468,/asl_dataset/w/hand4_w_bot_seg_1_cropped.jpeg,w,val
157,/asl_dataset/9/hand5_9_bot_seg_2_cropped.jpeg,9,val
646,/asl_dataset/z/hand1_z_dif_seg_2_cropped.jpeg,z,val
1897,/asl_dataset/e/hand1_e_bot_seg_3_cropped.jpeg,e,val
2364,/asl_dataset/5/hand2_5_top_seg_3_cropped.jpeg,5,val
766,/asl_dataset/1/hand1_1_dif_seg_5_cropped.jpeg,1,val
1215,/asl_dataset/h/hand3_h_dif_seg_2_cropped.jpeg,h,val
2420,/asl_dataset/p/hand4_p_bot_seg_2_cropped.jpeg,p,val
1464,/asl_dataset/c/hand5_c_dif_seg_2_cropped.jpeg,c,val
1665,/asl_dataset/q/hand4_q_bot_seg_4_cropped.jpeg,q,val
1773,/asl_dataset/x/hand1_x_bot_seg_1_cropped.jpeg,x,val
1412,/asl_dataset/c/hand4_c_bot_seg_4_cropped.jpeg,c,val
1370,/asl_dataset/j/hand1_j_dif_seg_2_cropped.jpeg,j,val
2390,/asl_dataset/p/hand3_p_dif_seg_1_cropped.jpeg,p,val
2360,/asl_dataset/5/hand1_5_right_seg_4_cropped.jpeg,5,val
1918,/asl_dataset/e/hand2_e_right_seg_4_cropped.jpeg,e,val
857,/asl_dataset/t/hand5_t_dif_seg_4_cropped.jpeg,t,val
1921,/asl_dataset/e/hand2_e_right_seg_3_cropped.jpeg,e,val
442,/asl_dataset/n/hand1_n_left_seg_4_cropped.jpeg,n,val
2371,/asl_dataset/5/hand1_5_right_seg_5_cropped.jpeg,5,val
1539,/asl_dataset/v/hand2_v_top_seg_4_cropped.jpeg,v,val
2361,/asl_dataset/5/hand1_5_dif_seg_5_cropped.jpeg,5,val
450,/asl_dataset/n/hand5_n_bot_seg_2_cropped.jpeg,n,val
497,/asl_dataset/g/hand5_g_dif_seg_1_cropped.jpeg,g,val
1965,/asl_dataset/b/hand1_b_left_seg_4_cropped.jpeg,b,val
272,/asl_dataset/0/hand1_0_right_seg_4_cropped.jpeg,0,val
407,/asl_dataset/i/hand4_i_bot_seg_1_cropped.jpeg,i,val
1498,/asl_dataset/d/hand1_d_top_seg_3_cropped.jpeg,d,val
566,/asl_dataset/6/hand1_6_dif_seg_1_cropped.jpeg,6,val
2137,/asl_dataset/l/hand1_l_dif_seg_4_cropped.jpeg,l,val
2385,/asl_dataset/p/hand1_p_left_seg_4_cropped.jpeg,p,val
1848,/asl_dataset/3/hand4_3_bot_seg_3_cropped.jpeg,3,val
929,/asl_dataset/s/hand1_s_dif_seg_5_cropped.jpeg,s,val
389,/asl_dataset/i/hand2_i_dif_seg_1_cropped.jpeg,i,val
156,/asl_dataset/9/hand5_9_bot_seg_5_cropped.jpeg,9,val
159,/asl_dataset/9/hand3_9_dif_seg_3_cropped.jpeg,9,val
781,/asl_dataset/8/hand1_8_left_seg_1_cropped.jpeg,8,val
1114,/asl_dataset/f/hand1_f_left_seg_1_cropped.jpeg,f,val
92,/asl_dataset/u/hand2_u_left_seg_5_cropped.jpeg,u,val
1020,/asl_dataset/a/hand2_a_right_seg_1_cropped.jpeg,a,val
2186,/asl_dataset/2/hand1_2_bot_seg_5_cropped.jpeg,2,val
1538,/asl_dataset/v/hand2_v_top_seg_3_cropped.jpeg,v,val
1285,/asl_dataset/m/hand2_m_right_seg_4_cropped.jpeg,m,val
158,/asl_dataset/9/hand2_9_right_seg_5_cropped.jpeg,9,val
541,/asl_dataset/g/hand2_g_top_seg_5_cropped.jpeg,g,val
1708,/asl_dataset/4/hand1_4_dif_seg_1_cropped.jpeg,4,val
1612,/asl_dataset/q/hand1_q_left_seg_1_cropped.jpeg,q,val
270,/asl_dataset/0/hand1_0_right_seg_3_cropped.jpeg,0,val
1863,/asl_dataset/3/hand4_3_bot_seg_1_cropped.jpeg,3,val
952,/asl_dataset/s/hand4_s_bot_seg_4_cropped.jpeg,s,val
944,/asl_dataset/s/hand3_s_dif_seg_4_cropped.jpeg,s,val
683,/asl_dataset/z/hand1_z_left_seg_4_cropped.jpeg,z,val
590,/asl_dataset/6/hand1_6_bot_seg_5_cropped.jpeg,6,val
2242,/asl_dataset/y/hand2_y_left_seg_2_cropped.jpeg,y,val
248,/asl_dataset/0/hand1_0_dif_seg_5_cropped.jpeg,0,val
472,/asl_dataset/n/hand2_n_bot_seg_2_cropped.jpeg,n,val
1953,/asl_dataset/e/hand1_e_right_seg_2_cropped.jpeg,e,val
2354,/asl_dataset/5/hand2_5_top_seg_2_cropped.jpeg,5,val
1731,/asl_dataset/4/hand1_4_right_seg_3_cropped.jpeg,4,val
793,/asl_dataset/8/hand1_8_right_seg_1_cropped.jpeg,8,val
1919,/asl_dataset/e/hand1_e_left_seg_4_cropped.jpeg,e,val
1190,/asl_dataset/h/hand1_h_top_seg_4_cropped.jpeg,h,val
713,/asl_dataset/1/hand4_1_bot_seg_4_cropped.jpeg,1,val
1066,/asl_dataset/f/hand1_f_right_seg_5_cropped.jpeg,f,val
2219,/asl_dataset/2/hand2_2_top_seg_2_cropped.jpeg,2,val
2030,/asl_dataset/k/hand1_k_bot_seg_4_cropped.jpeg,k,val
2501,/asl_dataset/w/hand1_w_right_seg_1_cropped.jpeg,w,val
1054,/asl_dataset/f/hand2_f_dif_seg_2_cropped.jpeg,f,val
1131,/asl_dataset/o/hand1_o_right_seg_2_cropped.jpeg,o,val
1223,/asl_dataset/h/hand5_h_dif_seg_2_cropped.jpeg,h,val
2455,/asl_dataset/w/hand2_w_dif_seg_1_cropped.jpeg,w,val
2111,/asl_dataset/l/hand2_l_left_seg_3_cropped.jpeg,l,val
948,/asl_dataset/s/hand2_s_left_seg_2_cropped.jpeg,s,val
1104,/asl_dataset/f/hand2_f_top_seg_2_cropped.jpeg,f,val
1721,/asl_dataset/4/hand1_4_right_seg_2_cropped.jpeg,4,val
846,/asl_dataset/t/hand2_t_left_seg_1_cropped.jpeg,t,val
2275,/asl_dataset/y/hand2_y_right_seg_1_cropped.jpeg,y,val
2040,/asl_dataset/k/hand5_k_bot_seg_5_cropped.jpeg,k,val
858,/asl_dataset/t/hand5_t_dif_seg_3_cropped.jpeg,t,val
2015,/asl_dataset/b/hand2_b_bot_seg_5_cropped.jpeg,b,val
127,/asl_dataset/u/hand1_u_right_seg_5_cropped.jpeg,u,val
564,/asl_dataset/6/hand3_6_dif_seg_4_cropped.jpeg,6,val
1001,/asl_dataset/a/hand4_a_bot_seg_2_cropped.jpeg,a,val
428,/asl_dataset/n/hand1_n_dif_seg_1_cropped.jpeg,n,val
1363,/asl_dataset/j/hand5_j_bot_seg_1_cropped.jpeg,j,val
1852,/asl_dataset/3/hand2_3_left_seg_2_cropped.jpeg,3,val
1025,/asl_dataset/a/hand3_a_dif_seg_1_cropped.jpeg,a,val
642,/asl_dataset/z/hand2_z_top_seg_5_cropped.jpeg,z,val
547,/asl_dataset/g/hand5_g_dif_seg_2_cropped.jpeg,g,val
2424,/asl_dataset/p/hand2_p_dif_seg_4_cropped.jpeg,p,val
1169,/asl_dataset/o/hand4_o_bot_seg_1_cropped.jpeg,o,val
1866,/asl_dataset/3/hand2_3_top_seg_2_cropped.jpeg,3,val
998,/asl_dataset/a/hand2_a_right_seg_2_cropped.jpeg,a,val
576,/asl_dataset/6/hand1_6_right_seg_5_cropped.jpeg,6,val
513,/asl_dataset/g/hand1_g_left_seg_1_cropped.jpeg,g,val
183,/asl_dataset/9/hand1_9_left_seg_1_cropped.jpeg,9,val
1404,/asl_dataset/c/hand2_c_left_seg_4_cropped.jpeg,c,val
1747,/asl_dataset/x/hand2_x_right_seg_2_cropped.jpeg,x,val
414,/asl_dataset/i/hand2_i_bot_seg_3_cropped.jpeg,i,val
1884,/asl_dataset/3/hand1_3_bot_seg_1_cropped.jpeg,3,val
1566,/asl_dataset/v/hand1_v_bot_seg_1_cropped.jpeg,v,val
1783,/asl_dataset/x/hand1_x_bot_seg_5_cropped.jpeg,x,val
1324,/asl_dataset/m/hand1_m_dif_seg_4_cropped.jpeg,m,val
1397,/asl_dataset/c/hand3_c_dif_seg_3_cropped.jpeg,c,val
1279,/asl_dataset/m/hand5_m_bot_seg_2_cropped.jpeg,m,val
1739,/asl_dataset/4/hand1_4_top_seg_1_cropped.jpeg,4,val
362,/asl_dataset/i/hand1_i_left_seg_5_cropped.jpeg,i,val
1601,/asl_dataset/v/hand2_v_left_seg_1_cropped.jpeg,v,val
675,/asl_dataset/z/hand1_z_right_seg_1_cropped.jpeg,z,val
1403,/asl_dataset/c/hand4_c_bot_seg_5_cropped.jpeg,c,val
601,/asl_dataset/6/hand1_6_left_seg_1_cropped.jpeg,6,val
1543,/asl_dataset/v/hand1_v_dif_seg_3_cropped.jpeg,v,val
1303,/asl_dataset/m/hand1_m_right_seg_3_cropped.jpeg,m,val
1642,/asl_dataset/q/hand1_q_bot_seg_4_cropped.jpeg,q,val
1156,/asl_dataset/o/hand2_o_top_seg_2_cropped.jpeg,o,val
281,/asl_dataset/7/hand1_7_right_seg_3_cropped.jpeg,7,val
1132,/asl_dataset/o/hand5_o_bot_seg_4_cropped.jpeg,o,val
2131,/asl_dataset/l/hand1_l_left_seg_1_cropped.jpeg,l,val
730,/asl_dataset/1/hand5_1_bot_seg_2_cropped.jpeg,1,val
223,/asl_dataset/0/hand1_0_top_seg_5_cropped.jpeg,0,val
291,/asl_dataset/7/hand2_7_dif_seg_2_cropped.jpeg,7,val
565,/asl_dataset/6/hand4_6_bot_seg_4_cropped.jpeg,6,val
318,/asl_dataset/7/hand2_7_top_seg_5_cropped.jpeg,7,val
479,/asl_dataset/n/hand2_n_left_seg_4_cropped.jpeg,n,val
329,/asl_dataset/7/hand5_7_dif_seg_2_cropped.jpeg,7,val
1182,/asl_dataset/o/hand2_o_dif_seg_1_cropped.jpeg,o,val
2268,/asl_dataset/y/hand1_y_left_seg_2_cropped.jpeg,y,test
790,/asl_dataset/8/hand1_8_top_seg_3_cropped.jpeg,8,test
383,/asl_dataset/i/hand1_i_bot_seg_5_cropped.jpeg,i,test
1486,/asl_dataset/d/hand1_d_bot_seg_3_cropped.jpeg,d,test
418,/asl_dataset/i/hand5_i_dif_seg_2_cropped.jpeg,i,test
1252,/asl_dataset/h/hand2_h_left_seg_1_cropped.jpeg,h,test
439,/asl_dataset/n/hand1_n_bot_seg_3_cropped.jpeg,n,test
2505,/asl_dataset/w/hand2_w_dif_seg_3_cropped.jpeg,w,test
1830,/asl_dataset/3/hand1_3_bot_seg_2_cropped.jpeg,3,test
1187,/asl_dataset/h/hand2_h_left_seg_3_cropped.jpeg,h,test
1606,/asl_dataset/q/hand5_q_dif_seg_4_cropped.jpeg,q,test
1504,/asl_dataset/d/hand1_d_right_seg_5_cropped.jpeg,d,test
902,/asl_dataset/t/hand1_t_bot_seg_2_cropped.jpeg,t,test
916,/asl_dataset/s/hand1_s_left_seg_3_cropped.jpeg,s,test
783,/asl_dataset/8/hand4_8_bot_seg_5_cropped.jpeg,8,test
2338,/asl_dataset/5/hand1_5_bot_seg_3_cropped.jpeg,5,test
1425,/asl_dataset/c/hand2_c_dif_seg_3_cropped.jpeg,c,test
460,/asl_dataset/n/hand2_n_dif_seg_1_cropped.jpeg,n,test
1322,/asl_dataset/m/hand1_m_dif_seg_3_cropped.jpeg,m,test
670,/asl_dataset/z/hand2_z_bot_seg_1_cropped.jpeg,z,test
912,/asl_dataset/s/hand1_s_right_seg_3_cropped.jpeg,s,test
893,/asl_dataset/t/hand5_t_bot_seg_4_cropped.jpeg,t,test
1141,/asl_dataset/o/hand4_o_bot_seg_3_cropped.jpeg,o,test
1260,/asl_dataset/m/hand5_m_dif_seg_1_cropped.jpeg,m,test
1380,/asl_dataset/j/hand2_j_bot_seg_4_cropped.jpeg,j,test
1254,/asl_dataset/h/hand2_h_dif_seg_1_cropped.jpeg,h,test
733,/asl_dataset/1/hand2_1_right_seg_4_cropped.jpeg,1,test
1059,/asl_dataset/f/hand1_f_top_seg_3_cropped.jpeg,f,test
982,/asl_dataset/a/hand1_a_top_seg_5_cropped.jpeg,a,test
615,/asl_dataset/6/hand2_6_bot_seg_2_cropped.jpeg,6,test
2066,/asl_dataset/k/hand2_k_bot_seg_5_cropped.jpeg,k,test
134,/asl_dataset/u/hand3_u_dif_seg_4_cropped.jpeg,u,test
257,/asl_dataset/0/hand1_0_left_seg_3_cropped.jpeg,0,test
1508,/asl_dataset/d/hand5_d_bot_seg_1_cropped.jpeg,d,test
1803,/asl_dataset/x/hand3_x_dif_seg_2_cropped.jpeg,x,test
986,/asl_dataset/a/hand5_a_bot_seg_2_cropped.jpeg,a,test
1028,/asl_dataset/a/hand5_a_dif_seg_2_cropped.jpeg,a,test
2236,/asl_dataset/y/hand1_y_right_seg_1_cropped.jpeg,y,test
2429,/asl_dataset/p/hand2_p_left_seg_5_cropped.jpeg,p,test
1870,/asl_dataset/3/hand2_3_bot_seg_4_cropped.jpeg,3,test
1676,/asl_dataset/4/hand5_4_bot_seg_3_cropped.jpeg,4,test
1349,/asl_dataset/j/hand1_j_left_seg_5_cropped.jpeg,j,test
1578,/asl_dataset/v/hand1_v_right_seg_1_cropped.jpeg,v,test
1831,/asl_dataset/3/hand1_3_bot_seg_5_cropped.jpeg,3,test
313,/asl_dataset/7/hand2_7_bot_seg_1_cropped.jpeg,7,test
1564,/asl_dataset/v/hand1_v_right_seg_5_cropped.jpeg,v,test
600,/asl_dataset/6/hand2_6_dif_seg_1_cropped.jpeg,6,test
2375,/asl_dataset/p/hand2_p_right_seg_2_cropped.jpeg,p,test
394,/asl_dataset/i/hand1_i_bot_seg_1_cropped.jpeg,i,test
2506,/asl_dataset/w/hand1_w_bot_seg_3_cropped.jpeg,w,test
1480,/asl_dataset/d/hand2_d_right_seg_2_cropped.jpeg,d,test
2115,/asl_dataset/l/hand2_l_right_seg_5_cropped.jpeg,l,test
2460,/asl_dataset/w/hand1_w_dif_seg_5_cropped.jpeg,w,test
2400,/asl_dataset/p/hand2_p_bot_seg_5_cropped.jpeg,p,test
1037,/asl_dataset/a/hand1_a_right_seg_4_cropped.jpeg,a,test
1904,/asl_dataset/e/hand3_e_dif_seg_2_cropped.jpeg,e,test
1484,/asl_dataset/d/hand1_d_top_seg_2_cropped.jpeg,d,test
1998,/asl_dataset/b/hand2_b_bot_seg_4_cropped.jpeg,b,test
881,/asl_dataset/t/hand3_t_dif_seg_5_cropped.jpeg,t,test
1723,/asl_dataset/4/hand1_4_left_seg_2_cropped.jpeg,4,test
2196,/asl_dataset/2/hand1_2_top_seg_2_cropped.jpeg,2,test
391,/asl_dataset/i/hand2_i_left_seg_2_cropped.jpeg,i,test
1286,/asl_dataset/m/hand2_m_left_seg_1_cropped.jpeg,m,test
1393,/asl_dataset/j/hand2_j_top_seg_3_cropped.jpeg,j,test
1364,/asl_dataset/j/hand1_j_bot_seg_1_cropped.jpeg,j,test
2254,/asl_dataset/y/hand2_y_bot_seg_2_cropped.jpeg,y,test
2413,/asl_dataset/p/hand1_p_right_seg_4_cropped.jpeg,p,test
1334,/asl_dataset/j/hand2_j_left_seg_1_cropped.jpeg,j,test
1656,/asl_dataset/q/hand4_q_bot_seg_5_cropped.jpeg,q,test
33,/asl_dataset/r/hand2_r_dif_seg_3_cropped.jpeg,r,test
2104,/asl_dataset/l/hand5_l_bot_seg_4_cropped.jpeg,l,test
1413,/asl_dataset/c/hand4_c_bot_seg_3_cropped.jpeg,c,test
823,/asl_dataset/8/hand2_8_bot_seg_4_cropped.jpeg,8,test
1740,/asl_dataset/4/hand2_4_dif_seg_1_cropped.jpeg,4,test
1789,/asl_dataset/x/hand2_x_dif_seg_2_cropped.jpeg,x,test
2270,/asl_dataset/y/hand4_y_bot_seg_5_cropped.jpeg,y,test
180,/asl_dataset/9/hand2_9_top_seg_3_cropped.jpeg,9,test
552,/asl_dataset/g/hand2_g_top_seg_3_cropped.jpeg,g,test
202,/asl_dataset/9/hand2_9_left_seg_3_cropped.jpeg,9,test
1746,/asl_dataset/x/hand3_x_dif_seg_1_cropped.jpeg,x,test
184,/asl_dataset/9/hand5_9_dif_seg_3_cropped.jpeg,9,test
2508,/asl_dataset/w/hand1_w_top_seg_2_cropped.jpeg,w,test
1208,/asl_dataset/h/hand2_h_dif_seg_2_cropped.jpeg,h,test
114,/asl_dataset/u/hand5_u_bot_seg_3_cropped.jpeg,u,test
1415,/asl_dataset/c/hand2_c_dif_seg_2_cropped.jpeg,c,test
1802,/asl_dataset/x/hand3_x_dif_seg_5_cropped.jpeg,x,test
1658,/asl_dataset/q/hand1_q_right_seg_2_cropped.jpeg,q,test
662,/asl_dataset/z/hand2_z_top_seg_1_cropped.jpeg,z,test
56,/asl_dataset/r/hand2_r_right_seg_2_cropped.jpeg,r,test
286,/asl_dataset/7/hand1_7_top_seg_4_cropped.jpeg,7,test
743,/asl_dataset/1/hand2_1_left_seg_5_cropped.jpeg,1,test
538,/asl_dataset/g/hand1_g_left_seg_3_cropped.jpeg,g,test
2140,/asl_dataset/l/hand1_l_left_seg_4_cropped.jpeg,l,test
632,/asl_dataset/z/hand5_z_bot_seg_1_cropped.jpeg,z,test
22,/asl_dataset/r/hand1_r_dif_seg_3_cropped.jpeg,r,test
1193,/asl_dataset/h/hand2_h_right_seg_4_cropped.jpeg,h,test
1891,/asl_dataset/e/hand1_e_bot_seg_5_cropped.jpeg,e,test
1779,/asl_dataset/x/hand2_x_left_seg_2_cropped.jpeg,x,test
1378,/asl_dataset/j/hand2_j_top_seg_5_cropped.jpeg,j,test
1763,/asl_dataset/x/hand2_x_top_seg_4_cropped.jpeg,x,test
1905,/asl_dataset/e/hand2_e_top_seg_1_cropped.jpeg,e,test
1562,/asl_dataset/v/hand1_v_top_seg_1_cropped.jpeg,v,test
521,/asl_dataset/g/hand2_g_dif_seg_2_cropped.jpeg,g,test
1628,/asl_dataset/q/hand2_q_right_seg_3_cropped.jpeg,q,test
285,/asl_dataset/7/hand1_7_bot_seg_2_cropped.jpeg,7,test
2495,/asl_dataset/w/hand3_w_dif_seg_3_cropped.jpeg,w,test
989,/asl_dataset/a/hand1_a_top_seg_4_cropped.jpeg,a,test
2356,/asl_dataset/5/hand3_5_dif_seg_1_cropped.jpeg,5,test
756,/asl_dataset/1/hand1_1_right_seg_3_cropped.jpeg,1,test
2152,/asl_dataset/l/hand2_l_bot_seg_4_cropped.jpeg,l,test
1142,/asl_dataset/o/hand4_o_bot_seg_4_cropped.jpeg,o,test
2113,/asl_dataset/l/hand2_l_right_seg_2_cropped.jpeg,l,test
300,/asl_dataset/7/hand1_7_bot_seg_4_cropped.jpeg,7,test
1039,/asl_dataset/a/hand2_a_left_seg_4_cropped.jpeg,a,test
2382,/asl_dataset/p/hand2_p_right_seg_4_cropped.jpeg,p,test
1116,/asl_dataset/o/hand2_o_dif_seg_4_cropped.jpeg,o,test
1675,/asl_dataset/4/hand5_4_bot_seg_4_cropped.jpeg,4,test
680,/asl_dataset/z/hand1_z_top_seg_3_cropped.jpeg,z,test
504,/asl_dataset/g/hand3_g_dif_seg_3_cropped.jpeg,g,test
2156,/asl_dataset/l/hand2_l_top_seg_2_cropped.jpeg,l,test
189,/asl_dataset/9/hand2_9_top_seg_5_cropped.jpeg,9,test
1257,/asl_dataset/m/hand2_m_top_seg_1_cropped.jpeg,m,test
1926,/asl_dataset/e/hand2_e_top_seg_2_cropped.jpeg,e,test
1571,/asl_dataset/v/hand5_v_bot_seg_3_cropped.jpeg,v,test
1657,/asl_dataset/q/hand1_q_right_seg_5_cropped.jpeg,q,test
489,/asl_dataset/n/hand2_n_bot_seg_4_cropped.jpeg,n,test
2329,/asl_dataset/5/hand2_5_right_seg_2_cropped.jpeg,5,test
2073,/asl_dataset/k/hand5_k_dif_seg_3_cropped.jpeg,k,test
2405,/asl_dataset/p/hand5_p_dif_seg_3_cropped.jpeg,p,test
526,/asl_dataset/g/hand1_g_bot_seg_4_cropped.jpeg,g,test
588,/asl_dataset/6/hand1_6_top_seg_4_cropped.jpeg,6,test
1159,/asl_dataset/o/hand5_o_dif_seg_5_cropped.jpeg,o,test
2067,/asl_dataset/k/hand4_k_bot_seg_1_cropped.jpeg,k,test
416,/asl_dataset/i/hand1_i_dif_seg_2_cropped.jpeg,i,test
1818,/asl_dataset/3/hand1_3_left_seg_1_cropped.jpeg,3,test
838,/asl_dataset/8/hand2_8_bot_seg_2_cropped.jpeg,8,test
2396,/asl_dataset/p/hand2_p_top_seg_4_cropped.jpeg,p,test
1594,/asl_dataset/v/hand4_v_bot_seg_5_cropped.jpeg,v,test
586,/asl_dataset/6/hand5_6_bot_seg_5_cropped.jpeg,6,test
627,/asl_dataset/6/hand3_6_dif_seg_1_cropped.jpeg,6,test
1617,/asl_dataset/q/hand1_q_dif_seg_2_cropped.jpeg,q,test
226,/asl_dataset/0/hand2_0_left_seg_3_cropped.jpeg,0,test
65,/asl_dataset/r/hand2_r_right_seg_4_cropped.jpeg,r,test
463,/asl_dataset/n/hand1_n_left_seg_1_cropped.jpeg,n,test
657,/asl_dataset/z/hand1_z_dif_seg_3_cropped.jpeg,z,test
2479,/asl_dataset/w/hand2_w_right_seg_4_cropped.jpeg,w,test
1835,/asl_dataset/3/hand1_3_top_seg_4_cropped.jpeg,3,test
903,/asl_dataset/t/hand2_t_left_seg_2_cropped.jpeg,t,test
46,/asl_dataset/r/hand1_r_right_seg_1_cropped.jpeg,r,test
1529,/asl_dataset/d/hand2_d_right_seg_1_cropped.jpeg,d,test
310,/asl_dataset/7/hand1_7_dif_seg_1_cropped.jpeg,7,test
685,/asl_dataset/z/hand1_z_left_seg_3_cropped.jpeg,z,test
2504,/asl_dataset/w/hand2_w_dif_seg_4_cropped.jpeg,w,test
2472,/asl_dataset/w/hand5_w_dif_seg_4_cropped.jpeg,w,test
1758,/asl_dataset/x/hand2_x_bot_seg_2_cropped.jpeg,x,test
715,/asl_dataset/1/hand4_1_bot_seg_3_cropped.jpeg,1,test
659,/asl_dataset/z/hand1_z_right_seg_2_cropped.jpeg,z,test
1850,/asl_dataset/3/hand1_3_dif_seg_1_cropped.jpeg,3,test
1772,/asl_dataset/x/hand5_x_bot_seg_1_cropped.jpeg,x,test
165,/asl_dataset/9/hand1_9_left_seg_5_cropped.jpeg,9,test
1869,/asl_dataset/3/hand2_3_bot_seg_3_cropped.jpeg,3,test
775,/asl_dataset/8/hand5_8_dif_seg_1_cropped.jpeg,8,test
1016,/asl_dataset/a/hand2_a_bot_seg_2_cropped.jpeg,a,test
1015,/asl_dataset/a/hand2_a_bot_seg_5_cropped.jpeg,a,test
209,/asl_dataset/9/hand1_9_bot_seg_1_cropped.jpeg,9,test
1183,/asl_dataset/o/hand1_o_top_seg_1_cropped.jpeg,o,test
548,/asl_dataset/g/hand5_g_dif_seg_5_cropped.jpeg,g,test
1781,/asl_dataset/x/hand2_x_dif_seg_4_cropped.jpeg,x,test
1569,/asl_dataset/v/hand1_v_left_seg_2_cropped.jpeg,v,test
2411,/asl_dataset/p/hand4_p_bot_seg_3_cropped.jpeg,p,test
1923,/asl_dataset/e/hand2_e_bot_seg_4_cropped.jpeg,e,test
465,/asl_dataset/n/hand5_n_dif_seg_3_cropped.jpeg,n,test
1526,/asl_dataset/d/hand5_d_dif_seg_2_cropped.jpeg,d,test
883,/asl_dataset/t/hand1_t_dif_seg_1_cropped.jpeg,t,test
1358,/asl_dataset/j/hand2_j_dif_seg_5_cropped.jpeg,j,test
2340,/asl_dataset/5/hand1_5_top_seg_2_cropped.jpeg,5,test
87,/asl_dataset/u/hand2_u_bot_seg_2_cropped.jpeg,u,test
2332,/asl_dataset/5/hand1_5_bot_seg_5_cropped.jpeg,5,test
1202,/asl_dataset/h/hand2_h_left_seg_2_cropped.jpeg,h,test
2418,/asl_dataset/p/hand3_p_dif_seg_3_cropped.jpeg,p,test
2343,/asl_dataset/5/hand1_5_bot_seg_1_cropped.jpeg,5,test
1813,/asl_dataset/x/hand4_x_bot_seg_2_cropped.jpeg,x,test
832,/asl_dataset/8/hand1_8_dif_seg_4_cropped.jpeg,8,test
1748,/asl_dataset/x/hand2_x_top_seg_5_cropped.jpeg,x,test
1949,/asl_dataset/e/hand2_e_dif_seg_1_cropped.jpeg,e,test
2412,/asl_dataset/p/hand1_p_dif_seg_1_cropped.jpeg,p,test
1898,/asl_dataset/e/hand1_e_bot_seg_4_cropped.jpeg,e,test
555,/asl_dataset/g/hand5_g_dif_seg_4_cropped.jpeg,g,test
1986,/asl_dataset/b/hand4_b_bot_seg_5_cropped.jpeg,b,test
1511,/asl_dataset/d/hand1_d_right_seg_4_cropped.jpeg,d,test
1266,/asl_dataset/m/hand3_m_dif_seg_4_cropped.jpeg,m,test
1344,/asl_dataset/j/hand1_j_top_seg_3_cropped.jpeg,j,test
667,/asl_dataset/z/hand1_z_dif_seg_1_cropped.jpeg,z,test
676,/asl_dataset/z/hand2_z_dif_seg_3_cropped.jpeg,z,test
2155,/asl_dataset/l/hand1_l_left_seg_2_cropped.jpeg,l,test
696,/asl_dataset/z/hand5_z_bot_seg_4_cropped.jpeg,z,test
1941,/asl_dataset/e/hand5_e_dif_seg_3_cropped.jpeg,e,test
122,/asl_dataset/u/hand4_u_bot_seg_3_cropped.jpeg,u,test
443,/asl_dataset/n/hand1_n_right_seg_2_cropped.jpeg,n,test
54,/asl_dataset/r/hand3_r_dif_seg_5_cropped.jpeg,r,test
279,/asl_dataset/0/hand2_0_dif_seg_1_cropped.jpeg,0,test
647,/asl_dataset/z/hand1_z_right_seg_4_cropped.jpeg,z,test
1354,/asl_dataset/j/hand1_j_top_seg_5_cropped.jpeg,j,test
1024,/asl_dataset/a/hand2_a_bot_seg_4_cropped.jpeg,a,test
2349,/asl_dataset/5/hand2_5_left_seg_4_cropped.jpeg,5,test
799,/asl_dataset/8/hand1_8_bot_seg_4_cropped.jpeg,8,test
168,/asl_dataset/9/hand2_9_right_seg_3_cropped.jpeg,9,test
1946,/asl_dataset/e/hand1_e_right_seg_4_cropped.jpeg,e,test
487,/asl_dataset/n/hand3_n_dif_seg_1_cropped.jpeg,n,test
1457,/asl_dataset/c/hand1_c_right_seg_1_cropped.jpeg,c,test
13,/asl_dataset/r/hand2_r_bot_seg_2_cropped.jpeg,r,test
